cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 10:54:08    -2632.590762        0.547703
LBFGS:    1 10:54:16    -2632.902772        0.526056
LBFGS:    2 10:54:24    -2636.579141        0.665926
LBFGS:    3 10:54:31    -2636.922493        0.506749
LBFGS:    4 10:54:39    -2637.800362        0.213221
LBFGS:    5 10:54:46    -2638.821210        0.380016
LBFGS:    6 10:54:53    -2639.240519        0.494491
LBFGS:    7 10:55:00    -2639.566912        0.480036
LBFGS:    8 10:55:08    -2639.959802        0.340874
LBFGS:    9 10:55:15    -2640.446904        0.234938
LBFGS:   10 10:55:22    -2640.939769        0.274445
LBFGS:   11 10:55:30    -2641.239857        0.278353
LBFGS:   12 10:55:37    -2641.480297        0.286748
LBFGS:   13 10:55:44    -2641.804890        0.255531
LBFGS:   14 10:55:52    -2642.164324        0.219568
LBFGS:   15 10:55:59    -2642.418896        0.181775
LBFGS:   16 10:56:07    -2642.566272        0.163503
LBFGS:   17 10:56:14    -2642.675896        0.150701
LBFGS:   18 10:56:21    -2642.812908        0.145792
LBFGS:   19 10:56:29    -2643.017662        0.141677
LBFGS:   20 10:56:36    -2643.209587        0.150628
LBFGS:   21 10:56:44    -2643.323303        0.171715
LBFGS:   22 10:56:51    -2643.403159        0.141391
LBFGS:   23 10:56:59    -2643.502511        0.106052
LBFGS:   24 10:57:06    -2643.609166        0.105535
LBFGS:   25 10:57:13    -2643.685210        0.129375
LBFGS:   26 10:57:21    -2643.725002        0.142203
LBFGS:   27 10:57:28    -2643.753957        0.119976
LBFGS:   28 10:57:36    -2643.798607        0.070715
LBFGS:   29 10:57:44    -2643.858420        0.077044
LBFGS:   30 10:57:51    -2643.907823        0.071145
LBFGS:   31 10:57:58    -2643.935190        0.068816
LBFGS:   32 10:58:06    -2643.956291        0.054496
LBFGS:   33 10:58:14    -2643.982995        0.049625
LBFGS:   34 10:58:21    -2644.011220        0.046373
LBFGS:   35 10:58:28    -2644.030144        0.055554
LBFGS:   36 10:58:36    -2644.039566        0.055548
LBFGS:   37 10:58:43    -2644.047387        0.051897
LBFGS:   38 10:58:50    -2644.059097        0.040094
LBFGS:   39 10:58:58    -2644.071971        0.039979
LBFGS:   40 10:59:05    -2644.080357        0.026147
LBFGS:   41 10:59:13    -2644.084246        0.022106
LBFGS:   42 10:59:20    -2644.087273        0.019402
LBFGS:   43 10:59:28    -2644.091001        0.018898
LBFGS:   44 10:59:35    -2644.094275        0.020610
LBFGS:   45 10:59:42    -2644.096073        0.014630
LBFGS:   46 10:59:50    -2644.097058        0.013011
LBFGS:   47 10:59:57    -2644.098220        0.014313
LBFGS:   48 11:00:05    -2644.099936        0.015290
LBFGS:   49 11:00:12    -2644.101567        0.011226
LBFGS:   50 11:00:19    -2644.102428        0.009067
LBFGS:   51 11:00:27    -2644.102805        0.007757
LBFGS:   52 11:00:34    -2644.103162        0.006714
LBFGS:   53 11:00:41    -2644.103648        0.007186
LBFGS:   54 11:00:49    -2644.104081        0.005120
LBFGS:   55 11:00:56    -2644.104329        0.005109
LBFGS:   56 11:01:04    -2644.104482        0.004344
LBFGS:   57 11:01:11    -2644.104676        0.005409
LBFGS:   58 11:01:19    -2644.104945        0.006184
LBFGS:   59 11:01:26    -2644.105186        0.005103
LBFGS:   60 11:01:33    -2644.105318        0.005154
LBFGS:   61 11:01:41    -2644.105396        0.004886
LBFGS:   62 11:01:48    -2644.105492        0.004704
LBFGS:   63 11:01:56    -2644.105625        0.004092
LBFGS:   64 11:02:03    -2644.105744        0.003125
LBFGS:   65 11:02:11    -2644.105807        0.003364
LBFGS:   66 11:02:18    -2644.105842        0.002895
LBFGS:   67 11:02:25    -2644.105881        0.002227
LBFGS:   68 11:02:33    -2644.105932        0.002096
LBFGS:   69 11:02:40    -2644.105974        0.002243
LBFGS:   70 11:02:47    -2644.105995        0.002079
LBFGS:   71 11:02:55    -2644.106008        0.001984
LBFGS:   72 11:03:02    -2644.106023        0.001840
LBFGS:   73 11:03:09    -2644.106042        0.001418
LBFGS:   74 11:03:17    -2644.106056        0.000955
Optimized energy (eV): -2644.1060563503243
--- 573.0111956596375 seconds ---
