cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 08:19:18     -161.542360        0.321899
LBFGS:    1 08:19:19     -161.546783        0.300505
LBFGS:    2 08:19:19     -161.572659        0.086308
LBFGS:    3 08:19:20     -161.573058        0.067056
LBFGS:    4 08:19:20     -161.573609        0.040345
LBFGS:    5 08:19:20     -161.574314        0.037156
LBFGS:    6 08:19:21     -161.574589        0.024175
LBFGS:    7 08:19:21     -161.574690        0.020641
LBFGS:    8 08:19:22     -161.574764        0.023654
LBFGS:    9 08:19:22     -161.574919        0.024034
LBFGS:   10 08:19:22     -161.575122        0.018327
LBFGS:   11 08:19:23     -161.575298        0.018072
LBFGS:   12 08:19:23     -161.575386        0.021115
LBFGS:   13 08:19:24     -161.575447        0.020324
LBFGS:   14 08:19:24     -161.575542        0.017066
LBFGS:   15 08:19:24     -161.575693        0.017291
LBFGS:   16 08:19:25     -161.575858        0.019612
LBFGS:   17 08:19:25     -161.575974        0.023874
LBFGS:   18 08:19:25     -161.576048        0.022691
LBFGS:   19 08:19:26     -161.576136        0.017890
LBFGS:   20 08:19:26     -161.576280        0.019464
LBFGS:   21 08:19:27     -161.576451        0.018100
LBFGS:   22 08:19:27     -161.576568        0.013679
LBFGS:   23 08:19:27     -161.576622        0.014185
LBFGS:   24 08:19:28     -161.576665        0.012494
LBFGS:   25 08:19:28     -161.576733        0.011883
LBFGS:   26 08:19:29     -161.576825        0.013450
LBFGS:   27 08:19:29     -161.576900        0.008975
LBFGS:   28 08:19:29     -161.576935        0.009990
LBFGS:   29 08:19:30     -161.576954        0.008415
LBFGS:   30 08:19:30     -161.576980        0.007003
LBFGS:   31 08:19:30     -161.577016        0.007272
LBFGS:   32 08:19:31     -161.577049        0.006255
LBFGS:   33 08:19:31     -161.577065        0.007750
LBFGS:   34 08:19:32     -161.577075        0.006986
LBFGS:   35 08:19:32     -161.577087        0.005450
LBFGS:   36 08:19:32     -161.577106        0.007588
LBFGS:   37 08:19:33     -161.577128        0.007360
LBFGS:   38 08:19:33     -161.577144        0.006066
LBFGS:   39 08:19:34     -161.577153        0.006269
LBFGS:   40 08:19:34     -161.577165        0.005552
LBFGS:   41 08:19:34     -161.577189        0.007074
LBFGS:   42 08:19:35     -161.577233        0.008709
LBFGS:   43 08:19:35     -161.577298        0.010120
LBFGS:   44 08:19:36     -161.577361        0.012204
LBFGS:   45 08:19:36     -161.577411        0.013665
LBFGS:   46 08:19:36     -161.577461        0.012333
LBFGS:   47 08:19:37     -161.577537        0.013684
LBFGS:   48 08:19:37     -161.577637        0.015291
LBFGS:   49 08:19:38     -161.577714        0.010749
LBFGS:   50 08:19:38     -161.577744        0.006133
LBFGS:   51 08:19:38     -161.577755        0.005102
LBFGS:   52 08:19:39     -161.577768        0.006167
LBFGS:   53 08:19:39     -161.577791        0.006998
LBFGS:   54 08:19:40     -161.577819        0.007378
LBFGS:   55 08:19:40     -161.577842        0.009708
LBFGS:   56 08:19:40     -161.577860        0.009743
LBFGS:   57 08:19:41     -161.577885        0.008481
LBFGS:   58 08:19:41     -161.577931        0.011139
LBFGS:   59 08:19:41     -161.578003        0.012276
LBFGS:   60 08:19:42     -161.578071        0.008608
LBFGS:   61 08:19:42     -161.578101        0.005151
LBFGS:   62 08:19:43     -161.578109        0.003938
LBFGS:   63 08:19:43     -161.578113        0.002766
LBFGS:   64 08:19:43     -161.578117        0.001849
LBFGS:   65 08:19:44     -161.578120        0.000917
Optimized energy (eV): -161.57812008799382
