cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 08:55:10      -83.461956        0.051739
LBFGS:    1 08:55:10      -83.462114        0.051648
LBFGS:    2 08:55:11      -83.463280        0.055128
LBFGS:    3 08:55:11      -83.463464        0.061050
LBFGS:    4 08:55:11      -83.465882        0.105721
LBFGS:    5 08:55:11      -83.468438        0.115760
LBFGS:    6 08:55:12      -83.471369        0.097659
LBFGS:    7 08:55:12      -83.472887        0.084126
LBFGS:    8 08:55:12      -83.473684        0.064251
LBFGS:    9 08:55:12      -83.474345        0.068910
LBFGS:   10 08:55:12      -83.475359        0.068006
LBFGS:   11 08:55:13      -83.476404        0.071901
LBFGS:   12 08:55:13      -83.477141        0.070345
LBFGS:   13 08:55:13      -83.477626        0.075627
LBFGS:   14 08:55:13      -83.478273        0.068681
LBFGS:   15 08:55:13      -83.479270        0.065906
LBFGS:   16 08:55:14      -83.480304        0.059305
LBFGS:   17 08:55:14      -83.480891        0.040451
LBFGS:   18 08:55:14      -83.481135        0.034925
LBFGS:   19 08:55:14      -83.481364        0.030839
LBFGS:   20 08:55:14      -83.481727        0.032151
LBFGS:   21 08:55:15      -83.482125        0.027174
LBFGS:   22 08:55:15      -83.482402        0.032719
LBFGS:   23 08:55:15      -83.482560        0.032671
LBFGS:   24 08:55:15      -83.482718        0.027064
LBFGS:   25 08:55:15      -83.482958        0.026910
LBFGS:   26 08:55:16      -83.483222        0.023024
LBFGS:   27 08:55:16      -83.483394        0.026304
LBFGS:   28 08:55:16      -83.483476        0.026174
LBFGS:   29 08:55:16      -83.483547        0.021544
LBFGS:   30 08:55:16      -83.483661        0.018167
LBFGS:   31 08:55:17      -83.483797        0.018259
LBFGS:   32 08:55:17      -83.483899        0.021963
LBFGS:   33 08:55:17      -83.483952        0.022026
LBFGS:   34 08:55:17      -83.483994        0.018147
LBFGS:   35 08:55:17      -83.484055        0.010139
LBFGS:   36 08:55:18      -83.484121        0.010239
LBFGS:   37 08:55:18      -83.484161        0.011853
LBFGS:   38 08:55:18      -83.484177        0.011174
LBFGS:   39 08:55:18      -83.484187        0.008838
LBFGS:   40 08:55:18      -83.484201        0.004437
LBFGS:   41 08:55:19      -83.484213        0.003416
LBFGS:   42 08:55:19      -83.484218        0.003877
LBFGS:   43 08:55:19      -83.484220        0.003395
LBFGS:   44 08:55:19      -83.484221        0.002530
LBFGS:   45 08:55:19      -83.484222        0.002074
LBFGS:   46 08:55:20      -83.484224        0.001583
LBFGS:   47 08:55:20      -83.484224        0.001236
LBFGS:   48 08:55:20      -83.484224        0.001232
LBFGS:   49 08:55:20      -83.484225        0.001028
LBFGS:   50 08:55:20      -83.484225        0.001220
LBFGS:   51 08:55:21      -83.484226        0.001494
LBFGS:   52 08:55:21      -83.484227        0.002664
LBFGS:   53 08:55:21      -83.484228        0.003380
LBFGS:   54 08:55:21      -83.484229        0.003683
LBFGS:   55 08:55:22      -83.484232        0.003594
LBFGS:   56 08:55:22      -83.484236        0.003451
LBFGS:   57 08:55:22      -83.484243        0.003973
LBFGS:   58 08:55:22      -83.484251        0.005195
LBFGS:   59 08:55:22      -83.484257        0.006013
LBFGS:   60 08:55:23      -83.484261        0.005364
LBFGS:   61 08:55:23      -83.484266        0.003575
LBFGS:   62 08:55:23      -83.484271        0.002269
LBFGS:   63 08:55:23      -83.484273        0.001022
LBFGS:   64 08:55:23      -83.484273        0.000437
Optimized energy (eV): -83.48427305546045
