cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 08:17:23      -79.845935        0.321899
LBFGS:    1 08:17:24      -79.850384        0.300575
LBFGS:    2 08:17:24      -79.876619        0.087162
LBFGS:    3 08:17:24      -79.877048        0.068025
LBFGS:    4 08:17:24      -79.877714        0.038571
LBFGS:    5 08:17:25      -79.878568        0.039801
LBFGS:    6 08:17:25      -79.878962        0.033750
LBFGS:    7 08:17:25      -79.879143        0.033134
LBFGS:    8 08:17:25      -79.879307        0.032590
LBFGS:    9 08:17:25      -79.879646        0.033519
LBFGS:   10 08:17:26      -79.880158        0.032431
LBFGS:   11 08:17:26      -79.880677        0.031197
LBFGS:   12 08:17:26      -79.880964        0.038486
LBFGS:   13 08:17:26      -79.881126        0.037483
LBFGS:   14 08:17:26      -79.881333        0.031560
LBFGS:   15 08:17:27      -79.881651        0.025235
LBFGS:   16 08:17:27      -79.881991        0.026448
LBFGS:   17 08:17:27      -79.882218        0.032465
LBFGS:   18 08:17:27      -79.882348        0.031155
LBFGS:   19 08:17:27      -79.882488        0.025493
LBFGS:   20 08:17:28      -79.882729        0.019148
LBFGS:   21 08:17:28      -79.883035        0.022585
LBFGS:   22 08:17:28      -79.883263        0.019161
LBFGS:   23 08:17:28      -79.883366        0.017557
LBFGS:   24 08:17:28      -79.883431        0.016566
LBFGS:   25 08:17:29      -79.883521        0.022545
LBFGS:   26 08:17:29      -79.883640        0.023807
LBFGS:   27 08:17:29      -79.883739        0.017743
LBFGS:   28 08:17:29      -79.883792        0.012579
LBFGS:   29 08:17:30      -79.883831        0.011729
LBFGS:   30 08:17:30      -79.883903        0.016248
LBFGS:   31 08:17:30      -79.884047        0.021923
LBFGS:   32 08:17:30      -79.884280        0.025334
LBFGS:   33 08:17:30      -79.884521        0.021835
LBFGS:   34 08:17:31      -79.884670        0.020120
LBFGS:   35 08:17:31      -79.884756        0.015975
LBFGS:   36 08:17:31      -79.884843        0.013556
LBFGS:   37 08:17:31      -79.884938        0.011220
LBFGS:   38 08:17:31      -79.884996        0.006204
LBFGS:   39 08:17:32      -79.885010        0.003832
LBFGS:   40 08:17:32      -79.885012        0.003801
LBFGS:   41 08:17:32      -79.885013        0.003784
LBFGS:   42 08:17:32      -79.885014        0.003725
LBFGS:   43 08:17:32      -79.885017        0.003609
LBFGS:   44 08:17:33      -79.885022        0.003929
LBFGS:   45 08:17:33      -79.885025        0.004695
LBFGS:   46 08:17:33      -79.885029        0.004583
LBFGS:   47 08:17:33      -79.885034        0.005218
LBFGS:   48 08:17:33      -79.885043        0.006226
LBFGS:   49 08:17:34      -79.885060        0.006100
LBFGS:   50 08:17:34      -79.885078        0.004699
LBFGS:   51 08:17:34      -79.885087        0.002472
LBFGS:   52 08:17:34      -79.885089        0.001059
LBFGS:   53 08:17:34      -79.885089        0.000806
Optimized energy (eV): -79.88508900589297
