cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 18:57:07     -168.871538        0.331414
LBFGS:    1 18:57:07     -168.877045        0.301384
LBFGS:    2 18:57:08     -168.901226        0.098749
LBFGS:    3 18:57:08     -168.902473        0.033769
LBFGS:    4 18:57:08     -168.902554        0.023768
LBFGS:    5 18:57:08     -168.902666        0.026386
LBFGS:    6 18:57:08     -168.902891        0.034436
LBFGS:    7 18:57:08     -168.903136        0.030379
LBFGS:    8 18:57:08     -168.903271        0.015292
LBFGS:    9 18:57:09     -168.903305        0.014696
LBFGS:   10 18:57:09     -168.903321        0.013351
LBFGS:   11 18:57:09     -168.903348        0.010129
LBFGS:   12 18:57:09     -168.903392        0.012496
LBFGS:   13 18:57:09     -168.903437        0.010232
LBFGS:   14 18:57:09     -168.903460        0.006121
LBFGS:   15 18:57:09     -168.903467        0.005758
LBFGS:   16 18:57:10     -168.903472        0.005091
LBFGS:   17 18:57:10     -168.903483        0.006138
LBFGS:   18 18:57:10     -168.903498        0.007009
LBFGS:   19 18:57:10     -168.903513        0.005114
LBFGS:   20 18:57:10     -168.903519        0.003967
LBFGS:   21 18:57:10     -168.903522        0.003766
LBFGS:   22 18:57:10     -168.903524        0.003283
LBFGS:   23 18:57:11     -168.903529        0.003893
LBFGS:   24 18:57:11     -168.903536        0.004009
LBFGS:   25 18:57:11     -168.903541        0.002534
LBFGS:   26 18:57:11     -168.903543        0.001637
LBFGS:   27 18:57:11     -168.903544        0.001675
LBFGS:   28 18:57:11     -168.903545        0.001580
LBFGS:   29 18:57:11     -168.903546        0.001959
LBFGS:   30 18:57:12     -168.903548        0.001930
LBFGS:   31 18:57:12     -168.903549        0.001552
LBFGS:   32 18:57:12     -168.903549        0.001800
LBFGS:   33 18:57:12     -168.903550        0.001793
LBFGS:   34 18:57:12     -168.903551        0.001690
LBFGS:   35 18:57:12     -168.903553        0.002342
LBFGS:   36 18:57:12     -168.903557        0.003263
LBFGS:   37 18:57:12     -168.903565        0.003855
LBFGS:   38 18:57:13     -168.903574        0.003201
LBFGS:   39 18:57:13     -168.903580        0.002260
LBFGS:   40 18:57:13     -168.903582        0.002008
LBFGS:   41 18:57:13     -168.903583        0.001981
LBFGS:   42 18:57:13     -168.903584        0.001812
LBFGS:   43 18:57:13     -168.903585        0.001762
LBFGS:   44 18:57:13     -168.903586        0.001843
LBFGS:   45 18:57:13     -168.903587        0.001975
LBFGS:   46 18:57:14     -168.903587        0.002058
LBFGS:   47 18:57:14     -168.903588        0.002122
LBFGS:   48 18:57:14     -168.903589        0.002135
LBFGS:   49 18:57:14     -168.903592        0.001961
LBFGS:   50 18:57:14     -168.903597        0.001976
LBFGS:   51 18:57:14     -168.903601        0.001414
LBFGS:   52 18:57:14     -168.903603        0.000766
Optimized energy (eV): -168.90360273345175
