cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 10:48:09     -299.965587        0.258614
LBFGS:    1 10:48:09     -299.968264        0.235969
LBFGS:    2 10:48:10     -299.981995        0.072454
LBFGS:    3 10:48:10     -299.982417        0.069632
LBFGS:    4 10:48:11     -299.984673        0.080852
LBFGS:    5 10:48:11     -299.986071        0.076742
LBFGS:    6 10:48:11     -299.987005        0.050930
LBFGS:    7 10:48:12     -299.987441        0.053757
LBFGS:    8 10:48:12     -299.987963        0.052691
LBFGS:    9 10:48:12     -299.988672        0.043990
LBFGS:   10 10:48:13     -299.989402        0.048097
LBFGS:   11 10:48:13     -299.989889        0.043677
LBFGS:   12 10:48:13     -299.990254        0.044862
LBFGS:   13 10:48:14     -299.990738        0.041146
LBFGS:   14 10:48:14     -299.991432        0.040687
LBFGS:   15 10:48:14     -299.992141        0.037353
LBFGS:   16 10:48:14     -299.992629        0.037482
LBFGS:   17 10:48:15     -299.992970        0.037203
LBFGS:   18 10:48:15     -299.993411        0.036879
LBFGS:   19 10:48:16     -299.994123        0.040229
LBFGS:   20 10:48:16     -299.994952        0.039872
LBFGS:   21 10:48:16     -299.995550        0.033166
LBFGS:   22 10:48:16     -299.995915        0.033893
LBFGS:   23 10:48:17     -299.996307        0.040094
LBFGS:   24 10:48:17     -299.996958        0.050617
LBFGS:   25 10:48:17     -299.997842        0.047399
LBFGS:   26 10:48:18     -299.998617        0.033727
LBFGS:   27 10:48:18     -299.999059        0.034398
LBFGS:   28 10:48:18     -299.999376        0.032134
LBFGS:   29 10:48:19     -299.999864        0.032428
LBFGS:   30 10:48:19     -300.000635        0.047511
LBFGS:   31 10:48:19     -300.001466        0.044718
LBFGS:   32 10:48:20     -300.001997        0.033475
LBFGS:   33 10:48:20     -300.002301        0.031289
LBFGS:   34 10:48:20     -300.002641        0.027046
LBFGS:   35 10:48:21     -300.003191        0.035548
LBFGS:   36 10:48:21     -300.003844        0.033029
LBFGS:   37 10:48:21     -300.004308        0.024011
LBFGS:   38 10:48:22     -300.004525        0.026326
LBFGS:   39 10:48:22     -300.004685        0.022897
LBFGS:   40 10:48:22     -300.004926        0.026164
LBFGS:   41 10:48:23     -300.005211        0.027882
LBFGS:   42 10:48:23     -300.005415        0.018163
LBFGS:   43 10:48:23     -300.005510        0.014240
LBFGS:   44 10:48:24     -300.005584        0.013677
LBFGS:   45 10:48:24     -300.005708        0.017206
LBFGS:   46 10:48:24     -300.005901        0.019944
LBFGS:   47 10:48:25     -300.006118        0.016826
LBFGS:   48 10:48:25     -300.006289        0.019850
LBFGS:   49 10:48:25     -300.006437        0.018289
LBFGS:   50 10:48:26     -300.006659        0.023464
LBFGS:   51 10:48:26     -300.007052        0.034329
LBFGS:   52 10:48:26     -300.007588        0.035346
LBFGS:   53 10:48:26     -300.008036        0.022146
LBFGS:   54 10:48:27     -300.008266        0.019546
LBFGS:   55 10:48:27     -300.008405        0.018096
LBFGS:   56 10:48:27     -300.008563        0.014002
LBFGS:   57 10:48:28     -300.008720        0.012147
LBFGS:   58 10:48:28     -300.008801        0.007685
LBFGS:   59 10:48:28     -300.008823        0.006920
LBFGS:   60 10:48:29     -300.008832        0.005863
LBFGS:   61 10:48:29     -300.008846        0.005909
LBFGS:   62 10:48:29     -300.008862        0.005798
LBFGS:   63 10:48:30     -300.008874        0.005240
LBFGS:   64 10:48:30     -300.008881        0.005763
LBFGS:   65 10:48:30     -300.008891        0.006427
LBFGS:   66 10:48:31     -300.008911        0.006848
LBFGS:   67 10:48:31     -300.008954        0.008300
LBFGS:   68 10:48:31     -300.009033        0.012504
LBFGS:   69 10:48:32     -300.009145        0.018295
LBFGS:   70 10:48:32     -300.009274        0.022881
LBFGS:   71 10:48:32     -300.009425        0.025060
LBFGS:   72 10:48:33     -300.009660        0.025086
LBFGS:   73 10:48:33     -300.010087        0.028380
LBFGS:   74 10:48:33     -300.010750        0.033576
LBFGS:   75 10:48:34     -300.011401        0.024400
LBFGS:   76 10:48:34     -300.011714        0.015479
LBFGS:   77 10:48:34     -300.011798        0.014035
LBFGS:   78 10:48:35     -300.011836        0.010268
LBFGS:   79 10:48:35     -300.011874        0.004979
LBFGS:   80 10:48:35     -300.011894        0.002512
LBFGS:   81 10:48:36     -300.011898        0.000857
Optimized energy (eV): -300.0118976448374
